"lang"
{ 
	"Language" "romanian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Auto-atac"
		"dac_ability_alchemist_acid_spray_Description"							"Alchimistul împroșcă acid presurizat, afectând inamicii aflați până la {s:radius} celule depărtare.<br><br>Unitățile inamice care calcă pe terenul contaminat primesc {s:damage} de daune per secundă și au armura redusă cu {s:armor_reduction}."
		"dac_ability_alchemist_acid_spray_Lore"									"Îți place să arzi oamenii de vii, mie îmi place să ard casele oamenilor... e combinația perfectă. - <i>Momentul în care Hobgen creează noi relații</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Transformare"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lycan summons {s:summon_count} wolves and transforms and gains {s:hp_per}% to his max health, his move speed is boosted to {s:speed} and gains {s:crit_chance}% chance to Critical Hit for {s:crit_bonus}% Damage."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Te rog, Vârcolacule, ajută-mă să mă răzbun. - <i>Momentul în care Wren apelează la umanitatea Vârcolacului</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Invocă ursul spiritual"
		"dac_ability_lone_druid_summon_bear_Description"						"Invocă un urs spiritual puternic care să te acompanieze."
		"dac_ability_lone_druid_summon_bear_Lore"								"Doar ține ursul desparte de mine, bine? Nu-mi plac urșii. - <i>Grek, cel terifiat de urși</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Trăsnet haotic"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Cavalerul Haosului lansează un proiectil format dintr-o energie misterioasă care cauzează {s:damage_min}-{s:damage_max} de daune și năucește timp de {s:stun_min}-{s:stun_max} secunde."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Nu ar strica puțin haos în Spira Albă. - <i>Hobgen, agent al haosului</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Sete de sânge"
		"dac_ability_ogre_magi_bloodlust_Description"							"Magul Căpcăun vrăjește o unitate aliată, mărindu-i viteza de mișcare cu {s:bonus_movement_speed}% și viteza de atac cu {s:bonus_attack_speed}%. Dacă este invocată pe Magul Căpcăun, viteza de atac bonus este de {s:self_bonus}%. Magul Căpcăun are o șansă de {s:multicast_chance}% de a multiinvoca abilitatea aceasta pe 2 ținte."
		"dac_ability_ogre_magi_bloodlust_Lore"									"Magul face de două ori mai mult decât cere. Din fericire, Magul mai e și un idiot. - <i>O'nia, vânătoare de chilipiruri</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Împuternicire"
		"dac_ability_magnataur_empower_Description"								"Magnus înfurie o unitate aliată, oferindu-i un bonus de {s:bonus_damage_pct}% daune și {s:cleave_damage_pct}% despicare timp de {s:duration} secunde."
		"dac_ability_magnataur_empower_Lore"									"Las-o pe Anessix să creadă că-l poate manevra pe Enno, o să-și dea seama cât de tare greșește cu câteva secunde înainte de a fi călcată în picioare. - <i>Momentul în care Hobgen arată un moment rar de răbdare</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Sămânță parazită"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector plants a life-sapping seed in an enemy unit, draining its health by {s:leech_damage} every {s:damage_interval} seconds, while simultaneously slowing its attack and movement speed by {s:movement_slow}%.<br><br>The seed heals friendly units up to {s:radius} cell away from the target, and at 3 stars gives them +{s:bonus_armor} Armor. Lasts {s:duration} seconds. Jumps to a new target within {s:radius} cell if the current target dies."
		"dac_ability_treant_leech_seed_Lore"									"Nu voi minți, nu mă așteptam ca Enno să primească ajutor de la un copac. - <i>Momentul în care Jull și Anessix s-au întâlnit la un pahar</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Iluminare"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"Veghetorul Luminii concentrează energie, aceasta devenind mai puternică cu fiecare secundă de concentrare. După ce este eliberată, este trimis un val care cauzează {s:damage_per_second} de daune per fiecare secundă concentrată."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Veghetorul este mai puternic decât pare, dacă nu e controlat, ne va aduce sfârșitul. - <i>Turath, distrugătorul luminii</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Privire pietrificatoare"
		"dac_ability_medusa_stone_gaze_Description"								"Orice unitate inamică aflată la o distanță de {s:radius} celule care se uită la Medusa va avea viteza de mișcare și atac reduse cu {s:slow}%.<br><br>Dacă este acumulat un timp total de {s:face_duration} secunde în care unitățile s-au uitat la Medusa, unitățile acelea se vor transforma în piatră.<br><br>Unitățile pietrificate sunt năucite și încasează un bonus de {s:bonus_physical_damage}% daune fizice."
		"dac_ability_medusa_stone_gaze_Lore"									"E tipul meu de domnișoară, dar eu am ochi numai pentru Mireska. - <i>Hobgen, criminalul amorezat</i>"

		"dac_ability_medusa_split_shot"											"Săgeată despicată"
		"dac_ability_medusa_split_shot_Description"								"PASIV: Medusa trage până la {s:extra_shots} săgeți suplimentare folosind magia, lovind mai multe unități aflate la o distanță de cel mult {s:range} celulă față de ținta ei principală. Săgețile suplimentare cauzează un procentaj de {s:damage_modifier} din daunele săgeții sale principale."
		"dac_ability_medusa_split_shot_Lore"									"Ai văzut cum don'șoara aia trage cu arcul? Încă mai ai suflare, așa că probabil nu... - <i>Momentul în care Grek își laudă noua angajată</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Fervoare"
		"dac_ability_troll_warlord_fervor_Description"							"PASIV: Trolul Rezbelic aruncă topor după topor, primind {s:attack_speed}% viteză de atac bonus per suprapunere.<br><br>Dacă Trol își schimbă ținta, suprapunerile o iau de la zero.<br><br>Efectul acesta poate fi suprapus de maxim {s:max_stacks} ori."
		"dac_ability_troll_warlord_fervor_Lore"									"Eficient și neînduplecabil. Exact ca mine - <i>Liniște, care nu irosește energia</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Purjare demonică"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Repeatedly purges the target enemy unit, removing positive buffs, applying Break, and slowing the target for {s:duration} seconds. The unit slowly regains its movement/attack speed until the end of the duration, upon which {s:damage} damage is dealt. At 3 stars, the unit loses {s:health_pct}% of its current health at the start, and gains half that back after the purge finishes if it survives."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Ascultă aici, pramatie blănoasă, știu că ai impresia că poți complota cu Anessix, dar ai vreo idee cu ce oameni se îmbârligă? - <i>Hobgen, cel care nu e fan al demonilor (sau al lui Enno)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Marea despicare"
		"dac_ability_sven_cleave_Description"									"PASIV: Atacurile din apropiere ale unității acesteia lovesc toți inamicii din apropiere cu {s:cleave_damage_pct}% din daunele de atac."
		"dac_ability_sven_cleave_Lore"											"Ai văzut vreodată un Cavaler al veghei când își face treaba? E frumos. - <i>Grek, cunoscător al bătăliilor</i>"

		"dac_ability_sven_gods_strength"										"Forță divină"
		"dac_ability_sven_gods_strength_Description"							"Sven se înfurie și primește {s:bonus_damage_from_cast}% daune timp de {s:duration} secunde."
		"dac_ability_sven_gods_strength_Lore"									"Nu e nimic altceva care să-mi placă mai mult decât un bărbat fixat pe răzbunare. - <i>Momentul în care Anessix îl măsoară pe Sven din priviri</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Moarte vâjâitoare"
		"dac_ability_timbersaw_whirling_death_Description"						"Lamele ascuțite din armura Cherestinatorulul se rotesc, rănind inamicii aflați la o distanță de cel mult {s:radius} celule cu {s:damage} de daune."
		"dac_ability_timbersaw_whirling_death_Lore"								"Mi-am dat seama că Enno își chema prietenii din pădure, așa că i-am chemat și eu pe ai mei. - <i>Momentul în care Hobgen începe soluționarea de probleme</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"PUMNUL morsei!"
		"dac_ability_tusk_walrus_punch_Description"								"Ivoriu își folosește mărețul Pumn al morsei, o lovitură critică care cauzează {s:critical_damage}% din daunele de atac și își lansează victima spre ceruri timp de {s:air_time} secundă(-e).\n\nDupă aterizare, victima este încetinită cu {s:move_slow}% timp de {s:slow_duration} secunde și pierde {s:attack_slow} de puncte din viteza de atac. În timp ce lovește, Ivoriu nu poate fi ucis."
		"dac_ability_tusk_walrus_punch_Lore"									"Era prietenul meu cândva. Vom vedea imediat dacă e aici pentru a mă ajuta sau pentru a mă pocni. - <i>Momentul în care Jull își istorisește copilăria</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Scut afotic"
		"dac_ability_abaddon_aphotic_shield_Description"						"Avadon protejează o unitate aliată cu un scut care absoarbe {s:damage_absorb} de daune timp de {s:duration} secunde.<br><br>Când scutul este distrus, acesta va exploda și cauza {s:damage_absorb} de daune inamicilor aflați la o distanță de cel mult {s:radius} celule.<br><br>Elimină anumite tipuri de efecte negative și năuciri după invocare."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Am mult respect pentru Casa Avernus. - <i>Momentul în care O'nia caută favoruri</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Metamorfoză"
		"dac_ability_terrorblade_metamorph_Description"							"Teroare se transformă într-un demon puternic, primind un atac la distanță de {s:bonus_attack_range} celule, un bonus de daune de {s:bonus_attack_damage} și un bonus de {s:bonus_attack_speed} la viteza de atac. Teroare mai schimbă valorile de viață cu un alt aliat atunci când abilitatea aceasta are loc."
		"dac_ability_terrorblade_metamorph_Lore"								"Când vezi pe cineva că vorbește cu Anessix, știi că se va întâmpla ceva rău. - <i>Jull, urmăritorul de oameni</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Mine telecomandate"
		"dac_ability_techies_bomb_Description"									"Gașca pregătește un explozibil care se detonează după {s:explode_time} secunde și cauzează {s:damage} de daune țintelor aflate la o distanță de {s:range} celule.<br><br>Cauzează jumătate din daune inamicilor aflați la jumătatea distanței maxime."
		"dac_ability_techies_bomb_Lore"											"Spune ce vrei despre breji, dar sunt mereu distractivi. - <i>Momentul în care Hobgen urmărește o demolare pe viu</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Furtună statică"
		"dac_ability_disruptor_static_storm_Description"						"Ruptor creează o furtună statică periculoasă care amuțește toate unitățile inamice aflate la o distanță de cel mult {s:radius} celule de centru timp de {s:duration} secunde.<br><br>Daunele încep cu o valoare redusă, cauzând un total de {s:damage_total} de daune pe durata furtunii."
		"dac_ability_disruptor_static_storm_Lore"								"Nu știu dacă a venit aici ca să mă ajute, sau dacă vrea doar să stea cu ochii pe Satâr. - <i>Wren, căpitanul unui echipaj osebit</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Purificare"
		"dac_ability_omniknight_purification_Description"						"Omnicavalerul vindecă instantaneu o unitate aliată cu {s:heal} și cauzează daune tuturor unităților inamice aflate la {s:radius} celulă distanță cu aceeași valoare."
		"dac_ability_omniknight_purification_Lore"								"Își folosește credința pe post de armă... ca mine. - <i>Turath, salvatorul deziluzionat</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Cârlig de carne"
		"dac_ability_pudge_meathook_Description"								"Slană lansează un cârlig însângerat către cel mai depărtat inamic al său, trăgând victima către acesta și cauzând {s:damage} de daune.<br><br>Slană și aliații săi aflați la o distanță de cel mult o celulă vor direcționa atacurile către victimă până când aceasta moare."
		"dac_ability_pudge_meathook_Lore"										"Slană? Oh, e minunat. Mereu mă salută când argăsesc cadavrele. - <i>Carl, croitorul nemuritor</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Cuvântul umbrei"
		"dac_ability_warlock_shadow_word_Description"							"Magul Demonic șoptește o incantație, vindecând instantaneu cu {s:burst_tooltip} viața unei unități aliate și cu {s:hot_tooltip} pe secundă timp de {s:duration} secunde, sau cauzând {s:damage_tick} de daune unei unități inamice în fiecare secundă timp de {s:duration} secunde."
		"dac_ability_warlock_shadow_word_Lore"									"Unele secrete merită să fie păstrate... Demnok va plăti pentru lipsa sa de discreție. - <i>Anessix, așteptând momentul potrivit</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Furie însângerată"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIVE: As Bloodseeker's enemy's health drops, he gains attack speed, up to a maximum of {s:attack_speed_bonus_max} at {s:min_health_pct}% health.<br><br>Whenever Bloodseeker kills a target, he regains {s:heal_pct}% of their max health. At 3 stars, this occurs when any enemy dies within {s:radius} cell of Bloodseeker."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Dacă am învățat ceva de-a lungul carierei mele este faptul că lumii îi place sângele. Recrutează-l. - <i>Grek, promotorul decisiv</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Dublură furtunoasă"
		"dac_ability_arc_warden_tempest_double_Description"						"Străjerul Voltaic creează o copie a sa cu aceeași viață pe care acesta o are.<br><br>Dublura poate folosi toate obiectele din prezent ale Străjerului Voltaic și va încerca să atace același inamic ca și unitatea care l-a invocat. Clonele nu pot crea clone, iar acestea cauzează cu {s:clone_dmg_reduction}% mai puține daune."
		"dac_ability_arc_warden_tempest_double_Lore"							"Cu el sosesc misterele creației. - <i>Turath, profetul criptic</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double_no_items"						"Dublură furtunoasă"
		"dac_ability_arc_warden_tempest_double_no_items_Description"			"Arc Warden creates a copy of himself with the same health he currently has. Clones do {s:clone_dmg_reduction}% less damage, and gain {s:clone_mana_pct_loss_per}% less mana per clone (stacks multiplicatively). At 3 stars, the clone copies Arc Warden's item as well."
		"dac_ability_arc_warden_tempest_double_no_items_Lore"					"Cu el sosesc misterele creației. - <i>Turath, profetul criptic</i>"

		//MIRANA
		"dac_ability_mirana_arrow"												"Săgeată sacră"
		"dac_ability_mirana_arrow_Description"									"Mirana lansează o săgeată la o distanță mare cu o precizie letală, năucindu-și ținta timp de {s:duration} secunde și cauzând {s:damage} de daune."
		"dac_ability_mirana_arrow_Lore"											"Să n-ai încredere în fanatici, Wren, nu se merită. - <i>Momentul în care Jull oferă sfaturi prietenești</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Schimb de esențe"
		"dac_ability_slark_essence_shift_description"							"PASIVE: Slark își mărește daunele cu {s:stolen_dmg} și viteza de atac cu {s:stolen_aspd} după fiecare atac."
		"dac_ability_slark_essence_shift_lore"									"Slark este esențial pentru transportul nostru de produse din și în afara Recifului întunecat. - <i>Jull, afacerist independent</i>"

		"dac_ability_slark_pounce"												"Salt"
		"dac_ability_slark_pounce_description"									"PASIV: După ce efectuează un salt, Slark își dezarmează ținta timp de {s:disarm_duration} secunde."
		"dac_ability_slark_pounce_lore"											"Cum de ne-a luat iar prin suprindere!? - <i>Hobgen, cel cu temperament</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Atac colateral"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIVE: Black Dragon's ranged attack deals {s:splash_damage_percent}% splash damage to units {s:splash_radius} cell away of the Dragon's target."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Marea despicare"
		"dac_ability_sven_great_cleave_description"								"PASIV: Atacurile din apropiere ale unității acesteia lovesc toți inamicii din apropiere."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Imunitate la vrăji"
		"dac_ability_roshan_spell_immune_description"							"ACTIV: Roshan este imun la vrăji timp de {s:duration} secunde."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Gheare împotmolitoare"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"Atacurile ursului spiritual au o șansă de a împotmoli ținta înrădăcinând-o și dezarmând-o."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Sete de sânge"
		"dac_ability_thunder_lizard_bloodlust_Description"						"Creatura vrăjește o unitate aliată, mărindu-i viteza de mișcare cu {s:bonus_movement_speed}% și viteza de atac cu {s:bonus_attack_speed}%. Dacă este invocată pe ea însăși, viteza de atac bonus este de {s:self_bonus}%."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Aură vindecătoare"
		"dac_ability_healing_ward_healing_aura_description"								"Vindecă unitățile aliate aflate la cel mult {s:heal_range} celulă distanță cu {s:health_regen} viață/s."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Scoală zombi"
		"dac_ability_tombstone_raise_zombies_description"							"Unitățile care mor aflate la cel mult {s:range} celulă distanță vor invoca un zombi."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Baricadă"
		"dac_ability_barricade_aura_description"							"Baricada protejează unitățile din apropiere și este imună la vrăji."
		"dac_ability_barricade_aura_rot1"										"Barricade"
		"dac_ability_barricade_aura_rot1_description"							"Barricade protects nearby units and is immune to spells."

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Batjocură"
		"dac_ability_target_dummy_taunt_description"							"Momâia prietenoasă batjocorește."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Zid arzător"
		"dac_ability_cinderwall_aura_description"							"Zidul arzător protejează unitățile din apropiere și este imun la vrăji. Dă foc unităților din apropiere."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Cronocub"
		"dac_ability_faceless_void_chronocube_description"							"Creează o bulă în spațiu-timp, năucind toate unitățile prinse pe o distanță de {s:radius} celule de centrul cubului timp de {s:stun_duration} secunde. Vid Inform se mișcă foarte rapid în interiorul cubului și are viteza de atac mărită cu {s:bonus_attack_speed}. Doar Vidul Inform rămâne neafectat. Când este invocată, Vid Inform încearcă să teleporteze toți asasinii aliați în afara cubului."
		"dac_ability_faceless_void_chronocube_lore"									"O să intervină și Claszureme. S-ar putea să fie problematic. - <i>Momentul în care Jull și-a da seama că nu poate pocni timpul</i>"

		"dac_ability_faceless_void_time_walk"										"Salt temporal"
		"dac_ability_faceless_void_time_walk_description"							"PASIV: Vid Inform se duce către următoarea țintă, vindecând toate daunele primite în ultimele 2 secunde."
		"dac_ability_faceless_void_time_walk_lore"									"Te rog, nu aș atinge nici măcar una dintre clepsidrele alea blestemate, chiar crezi că-l vreau pe Pierpont să-și bage nasul pe aici? - <i>Hobgen, maniac cu bun-simț</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Duel"
		"dac_ability_legion_commander_duel_description"								"Legion Commander targets the lowest health enemy 1 cell away and they are forced to attack each other for {s:stun_duration}s. Neither hero can use abilities or be healed. If either hero dies during the duration, the hero winning the Duel gains permanent {s:winner_bonus_damage_kill_mult} bonus damage. (Damage varies by game mode.)"
		"dac_ability_legion_commander_duel_lore"									"Nu trebuie să te impui, Tresdin... te pot ajuta să-l găsești pe Rix. - <i>Anessix, cea rezistentă la presiune</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"Voința șarpelui-taur"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>DEBLOCAT DE ALIANȚA DRAGONILOR</i><br>PASIV: Când Comandantul Legiunii câștigă un duel, aceasta se vindecă instantaneu cu {s:heal_percentage}% din maximul ei de viață."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Îți știu neamul, Comandante, și știu că ești cea mai periculoasă creatură dintre toate. O credincioasă.  - <i>Wren, studentul lumii</i>"

		"dac_ability_legion_commander_element"										"Șarjă elementară"
		"dac_ability_legion_commander_element_description"							"PASIV: Atunci când Comandantul Legiunii execută Impactul delta, aceasta cauzează daune duble."
		"dac_ability_legion_commander_element_lore"									"Majoritatea soldaților sunt bântuiți de spirite... ea le conduce. - <i>Jull, cel ce știe care sunt oamenii traumatizați dintr-o privire</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Carapace înghimpată"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Nyx Asasin creează țepușe din carapacea sa, ignorând și reflectând {s:damage_taken_reflect_percentage}% din daunele primite (de maxim o singură dată pentru fiecare sursă), cât și năucește sursa daunelor timp de {s:stun_duration} secunde."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"Cuvântul corect este artropod. - <i>Liniște, cu atenție la detalii</i>"

		"dac_ability_nyx_assassin_vendetta"											"Vendetă"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIVE: After teleporting to attack a unit, Nyx Assassin deals {s:bonus_damage} bonus damage on his next attack and applies Break to the enemy for {s:break_duration}s, disabling all passive effects. At 3 stars, Nyx Assassin also applies Vendetta after {s:hits_to_trigger} successive attacks. The counter is reset if Vendetta triggers due to teleporting."
		"dac_ability_nyx_assassin_vendetta_lore"									"Insectă. Artropod. Cu-i îi pasă? Chestia e că am nevoie de el ca să omor pe cineva acum... poți să faci rost de el sau nu? - <i>O'nia, cea căreia nu-i place să fie corectată</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Shukuchi"
		"dac_ability_weaver_shukuchi_description"									"Țesător devine invizibil, de nețintit și se mișcă rapid printr-o țintă aflată la cel mult {s:distance_cells} celule distanță. Țesător cauzează {s:damage} daune fiecărui inamic prin care trece. Timp de {s:mana_break_duration} secunde după, atacurile Țesătorului ard {s:mana_per_hit} de mana, cauzând {s:damage_per_burn} daune pentru fiecare punct de mana ars."
		"dac_ability_weaver_shukuchi_lore"											"Țesător. Împreună vom reconstrui lumea. - <i>Turath, suficient de nebun cât s-o facă</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Creează păianjeni"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Muma Roiului își injectează puii într-o unitate inamică, cauzând {s:damage} de daune. Dacă ținta este ucisă, vor ecloza {s:num_spiderlings} păianjeni. Păianjenii sunt unități care nu pot fi țintite, care cauzează puține daune și au câte 1 punct de viață."
		"dac_ability_broodmother_spawn_spiderlings_lore"							"Uite, știu că ard oamenii de vii, dar măcar nu eclozez ouă în ei... - <i>Momentul în care Hobgen compară faptele</i>"

		"dac_ability_broodmother_spin_web"											"Țesătură împânzită"
		"dac_ability_broodmother_spin_web_description"								"Muma Roiului țese o pânză cu o lățime de {s:radius} celule deasupra unei unități inamice. Unitățile acoperite de pânză au reduse viteza de atac cu {s:debuff_attack_speed}, viteza de mișcare cu {s:debuff_speed}% și viteza de invocare cu {s:debuff_casting_speed}%."
		"dac_ability_broodmother_spin_web_lore"										"Aș putea cumva să-ți conving copii să-mi facă niște mătase? Sunt destul de sigur că păianjenii nu au prevederi legale care să protejează minorii de muncă. - <i>Carl, croitor cu etică</i>"

		// WISP
		"dac_ability_wisp_tether"													"Legătură"
		"dac_ability_wisp_tether_description"										"Io creează o legătură cu cel mai apropiat erou aliată și se apropie de aceasta. Io și eroul cu care formează legătura primesc {s:bonus_attack_speed} viteză de atac și o reducere a daunelor încasate de {s:damage_reduction}%. Legătura se va rupe dacă Io se află la o distanță mai mare de {s:tether_break_distance} celule de unitate."
		"dac_ability_wisp_tether_lore"												"<i>Momentul în care Enno se holbează la Io cu intenție</i>"

		"dac_ability_wisp_relocate"													"Relocare"
		"dac_ability_wisp_relocate_description"										"Io teleports away for {s:relocate_time_away} seconds to revive a dead hero. The two units return with full health and are purged of negative effects. At 3 stars, Io also resets that hero's cooldowns."
		"dac_ability_wisp_relocate_lore"											"<i>Momentul în care Io se holbează înapoi</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Val de țepușe"
		"dac_ability_bristleback_quill_spray_description"							"Spată-Țepoasă lansează un val de țepușe din spatele său, rănind toate unitățile inamice aflate la {s:radius} celule distanță. Inamicii primesc {s:quill_base_damage} de daune și {s:quill_stack_damage} de daune suplimentare pentru fiecare suprapunere a Valului de țepușe din runda aceasta, limita maximă de suprapuneri fiind de {s:max_stacks}."
		"dac_ability_bristleback_quill_spray_lore"									"Ca să fiu să fiu cât mai clar cu putință. Tu și Ivoriu n-o să-mi distrugeți barul în noaptea asta. - <i>Jull, foarte calm</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Ospăț"
		"dac_ability_life_stealer_feast_description"								"PASIV: Atacurile Pungașului Vieții cauzează daune inamicilor și îl vindecă cu {s:lifesteal_percentage}% din maximul de viață al țintei sale."
		"dac_ability_life_stealer_feast_lore"										"Nu apreciez faptul că vii cu presupuneri că din cauza situației mele știu imediat unde se află Pungașul Vieții. - <i>Carl, cel de obicei prejudecat</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Valul umbrei"
		"dac_ability_dazzle_shadow_wave_description"								"Licăr creează un val de energie care sare între cel mult {s:max_targets} aliați care se află la o distanță reciprocă de {s:bounce_radius} celule, vindecând fiecare aliat cu {s:damage}, în timp ce cauzează {s:damage} de daune oricărei unități inamice aflate la {s:damage_radius} celulă distanță. Licăr este întotdeauna vindecat de Valul umbrei."
		"dac_ability_dazzle_shadow_wave_lore"										"Și cât ar costa să-ți obțin serviciile? Am un interes semnificativ în a nu muri. - <i>O'nia - care își încearcă norocul cu umbrele</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Trăsnet sferic"
		"dac_ability_storm_spirit_ball_lightning_description"						"Spiritul Furtunii se transformă în electricitate volatilă, șarjând pe terenul de luptă și cauzând {s:damage} de daune fiecărei unități prin care trece, plus {s:damage_per_cell} de daune pentru fiecare celulă prin care a trecut."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Egotistul e motivat de inima sa, ci nu de capul său. Acesta va fi cel mai ușor de amăgit. - <i>Momentul în care Turath plănuiește ceva</i>"

		"dac_ability_storm_spirit_element"											"Elementul furtunii"
		"dac_ability_storm_spirit_element_description"								"PASIV: Atunci când Spiritul Furtunii execută Impactul delta, acesta dezarmează unitățile inamice afectate timp de 3 secunde."
		"dac_ability_storm_spirit_element_lore"										"Nu trebuie să ne facem griji de Liniște, nu va vrea să se apropie de furtună. - <i>Momentul în care Anessix consideră toate posibilitățile</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Pumni înlănțuiți"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Spiritul Scânteii gonește cu o viteză covârșitoare, atacând toți inamicii aflați aflați la cel mult {s:cells} celule distanță, iar apoi se întoarce în locul din care a pornit. Atacurile cauzează {s:bonus_damage} de daune bonus."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Poate se luptă ca un demon, dar e un om de onoare. Cuvântul lui mi-e suficient. - <i>Jull, care arată că hoții au onoare</i>"

		"dac_ability_ember_spirit_element"											"Element de foc"
		"dac_ability_ember_spirit_element_description"								"PASIV: Atunci când Spiritul Scânteii execută Impactul delta, acesta incendiază unitățile inamice afectate timp de 3 secunde."
		"dac_ability_ember_spirit_element_lore"										"Vreau să-l angajez. - <i>Hobgen, care recunoaște valoarea</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Strânsoare geomagnetică"
		"dac_ability_earth_spirit_geomagnetic_grip_description"						"Earth Spirit summons a Stone Remnant off the map and pulls it towards his current target. Enemies struck by the incoming Stone Remnant are silenced for {s:silence_duration} seconds and take {s:damage} damage. At 3 stars, the enemies are also stunned for {s:stun_duration} seconds."
